116;1699
462;1375
1286;2599
1290;1570
1665;212
2495;202
2503;245
2838;1821
4936;574
5226;1842
6127;929
6152;1490
6786;2760
8921;279
8941;119
9542;174
10082;699
10420;289
10452;218
10741;545
10931;199
11350;1553
11605;2449
11753;1599
12304;321
12662;69
12670;49
12680;39
13078;1699
13123;199
14130;139
14249;18
14326;137
15014;123
15532;239
15625;228
16193;340
16973;368
17197;2799
17358;2278
17852;205
17909;18
18077;42
18157;1217
18831;1041
19064;39
19165;3106
19172;1284
20701;134
20893;29
20938;299
21002;1308
21414;227
21897;62
22404;5999
22473;169
22474;159
23448;236
23483;218
23699;706
24279;1499
24283;1399
24842;790
24878;269
25155;484
25227;10
25631;213
26203;1079
26622;44
26680;539
26687;699
26900;1463
27442;1741
27888;1696
28265;10
30979;1679
31158;2760
31988;226
32560;1559
34326;225
35465;1992
36156;233
36170;200
37565;188
37775;29
38346;971
38350;560
39275;243
39504;319
39639;45
39689;574
39749;1842
40238;200
41144;1670
41236;78
41669;76
41931;231
42269;148
42746;2400
43512;35
43585;54
44119;490
44862;40
45057;349
45279;1207
45377;981
45981;132
46582;193
46860;2775
47126;25
47289;316
47476;141
48490;576
48982;19
49629;856
49946;149
50040;316
50179;184
50597;1319
50654;342
50950;289
52223;75
53262;35
53358;313
53930;1392
53986;696
54249;94
55803;45
56018;322
56074;64
56509;1299
57035;269
57873;59
58620;518
59581;699
60255;53
60295;702
60652;2055
61033;1949
61042;2999
61667;1662
62264;75
62359;60
63867;535
64061;80
64248;64
64804;7
65171;221
65520;195
66239;11
66316;491
66847;1333
67610;88
67695;66
67846;55
68331;1177
68478;1741
68695;799
68779;224
68781;197
68952;185
69411;47
69580;249
69807;940
70443;1362
70480;2598
70539;33
70835;224
70843;520
71125;1728
71633;514
71875;182
72731;1499
72742;2749
72884;20
73811;477
73820;330
74642;49
74808;11
75197;51
75374;997
75531;293
75649;1399
76254;54
76685;1679
76696;1099
76899;65
76945;29
77798;269
77809;549
78297;634
78954;1749
80195;1470
81290;2233
82989;1399
83783;82
85391;2317
87079;54
88359;616
89075;8999
89342;279
89755;969
91010;112
91179;135
91507;1299
91540;189
91862;629
94465;199
94490;52
95123;317
95547;229
95561;49
95643;19
98016;54
98434;111
98690;14
99115;53
99119;72
99595;70
99913;19
100129;2849
100167;141
100574;2599
100627;25
100990;204
100991;234
101039;11
101499;125
101520;46
101775;37
102090;1349
102663;869
102983;343
103058;79
105641;514
106750;2650
106892;338
106904;998
107990;1849
108111;1246
110084;34
110949;10
111036;699
111050;9699
111532;299
112082;231
113813;28
114826;263
114943;241
115520;949
115650;1729
116550;365
116753;2999
117492;64
117504;75
118257;167
118521;1399
119172;303
120742;200
120925;13
121224;277
121663;219
123256;488
123303;213
123992;36
124194;61
124286;170
124417;246
125622;76
125766;1619
128004;59
128618;1751
128855;1988
129001;256
132045;165
132974;1729
135161;13
135965;39
137719;215
138295;223
138512;899
138514;31
139777;1399
140994;28
141207;739
142075;205
142275;1736
142746;69
142907;132
144134;199
144233;35
144487;1743
145409;1167
147193;535
148487;40
149664;527
151676;93
151697;649
152065;36
153825;69
155553;55
155916;81
156039;79
158039;224
158658;73
159737;2327
160714;139
161725;32
162173;61
163106;24
164325;192
164740;1569
165584;2699
165809;69
165888;59
167810;33
169073;24
171195;59
171926;304
172620;261
173153;849
173574;1998
174097;389
174159;25
174372;21
175403;10
175577;121
176727;241
176766;52
179927;1191
182202;36
184217;12
184335;6887
187424;60
188102;5090
188716;199
189480;20
189927;113
190699;99
190951;1366
193210;159
194658;21
195803;54
196469;31
197268;124
197806;35
197878;149
198114;54
198909;42
199200;42
200269;10
201384;293
202329;44
203779;11
204735;533
205370;34
206816;3568
206959;1326
207046;20
207364;149
207383;72
207399;155
208427;408
208463;240
210191;158
210960;490
212195;43
212309;193
212708;449
213800;23
214254;44
215363;241
216549;6
216613;85
216692;99
216700;149
216975;233
217883;476
219639;189
219671;8999
220538;2399
220932;135
222326;443
222822;878
223054;17
223742;17
223807;468
224304;20
224441;69
227256;75
227382;5999
229680;1182
230668;135
232809;40
233207;124
233221;270
233705;152
233807;34
234964;1296
235191;35
237009;38
239426;699
240803;356
241919;59
242070;258
242218;47
242428;34
242831;8999
243062;4499
243406;373
244294;2299
244297;1999
244982;40
247637;58
247998;11
248350;49
248359;199
249347;29
249601;1219
250048;59
250281;20
250520;668
251967;62
252889;246
252890;246
253295;285
253793;172
253825;29
255261;191
255440;11
256099;243
256868;2124
257651;273
257950;273
258023;44
258450;125
258618;126
259553;127
259561;53
259751;38
259766;59
260564;149
261291;88
261854;13
262124;115
262224;184
262292;281
262621;5
264593;1136
264718;223
265709;34
265718;36
265805;277
266437;71
267437;9
268516;24
269566;48
269633;168
271943;1502
272681;54
272810;52
273001;99
273452;10
273902;205
274281;194
274525;64
276439;71
281213;38
281325;58
283643;200
287443;524
289449;59
291291;67
291293;50
294157;325
294777;381
296733;43
297123;129
297887;34
300567;213
301364;49
304869;59
304942;62
304946;63
305903;19
306401;39
307896;39
307902;24
308456;249
308466;700
310851;1179
310961;169
312486;243
313595;1649
314131;744
315637;215
316228;8
316310;29
320383;423
321265;18
323917;9
324528;24
325869;35
325870;250
328544;33
328558;70
328616;17
328862;15
334274;1029
334542;65
335726;1266
337116;46
337632;37
340226;144
340740;29
341736;53
341801;1399
342288;45
343623;20
344207;52
344633;26
344636;29
345474;11
345477;11
345942;27
346484;899
346787;1899
348446;59
349946;82
352728;13
352745;66
353113;69
353244;155
357096;59
359859;1585
359951;1344
362028;14
364185;44
364780;267
365916;17
366420;122
367561;343
368267;53
371706;199
372105;79
374896;58
375046;381
377256;20
377947;53
378615;96
378777;249
380196;99
381148;58
382489;14
386060;903
386815;36
387569;34
388445;37
388647;999
388919;29
390331;77
390607;42
395611;28
395695;119
396432;20
396658;273
396659;273
397498;147
397548;31
397553;105
397828;1185
398418;24
406045;199
408773;14
409656;1319
412194;326
413459;24
413610;1206
414993;19
417323;159
421700;969
422917;36
423587;1230
424131;115
424291;59
425426;2
426072;249
427643;29
429476;220
429939;44
429995;19
434193;567
434912;23
435201;14
437545;45
437551;232
438486;1899
438488;899
438773;2849
443049;255
444497;25
445452;1298
445775;2689
446741;194
447420;199
447605;112
449154;29
449685;1709
450008;312
450199;50
450898;59
451953;292
453299;3
453495;40
454843;342
454998;473
455216;116
455321;43
457716;56
460562;69
468522;269
472025;17
474456;1896
478880;370
480764;71
480827;195
481218;1899
482343;143
482896;45
482989;13
485187;21
486650;165
486688;57
486798;553
487028;2312
489061;41
492451;44
